CustomerID,Gender,Age,Annual_Income,Spending_Score,Profession,Work_Experience,Family_Size
1,0,19,15000,39,Healthcare,1,4
2,0,21,35000,81,Engineer,3,3
3,1,20,86000,6,Engineer,1,1
4,1,23,59000,77,Lawyer,0,2
5,1,31,38000,40,Entertainment,2,6
6,1,22,58000,76,Artist,0,2
7,1,35,31000,6,Healthcare,1,3
8,1,23,84000,94,Healthcare,1,3
9,0,64,97000,3,Engineer,0,3
10,1,30,98000,72,Artist,1,4
11,0,67,7000,14,Engineer,1,3
12,1,35,93000,99,Healthcare,4,4
13,1,58,80000,15,Executive,0,5
14,1,24,91000,77,Lawyer,1,1
15,0,37,19000,13,Doctor,0,1
16,0,22,51000,79,Healthcare,1,2
17,1,35,29000,35,Homemaker,9,5
18,0,20,89000,66,Healthcare,1,6
19,0,52,20000,29,Entertainment,1,4
20,1,35,62000,98,Artist,0,1
21,0,35,96000,35,Homemaker,12,1
22,0,25,4000,73,Healthcare,3,4
23,1,46,42000,5,Artist,13,2
24,0,31,71000,73,Artist,5,2
25,1,54,67000,14,Executive,1,3
26,0,29,52000,82,Artist,1,3
27,1,45,68000,32,Healthcare,9,8
28,0,35,78000,61,Artist,1,3
29,1,40,18000,31,Artist,0,1
30,1,23,20000,87,Artist,5,4
31,0,60,39000,4,Artist,0,3
32,1,21,34000,73,Doctor,1,2
33,0,53,59000,4,Healthcare,1,3
34,0,18,62000,92,Homemaker,9,7
35,1,49,91000,14,Lawyer,1,2
36,1,21,95000,81,Healthcare,3,4
37,1,42,14000,17,Doctor,5,1
38,1,30,62000,73,Healthcare,1,5
39,1,36,9000,26,Artist,8,2
40,1,20,69000,75,Artist,8,2
41,1,65,25000,35,Artist,4,1
42,0,24,85000,92,Healthcare,0,2
43,0,48,22000,36,Artist,14,3
44,1,31,33000,61,Artist,1,2
45,1,49,72000,28,Engineer,8,1
46,1,24,3000,65,Lawyer,4,2
47,1,50,52000,55,Artist,0,4
48,1,27,71000,47,Healthcare,12,1
49,1,29,78000,42,Healthcare,0,4
50,1,31,25000,42,Engineer,1,1
51,1,49,88000,52,Artist,1,2
52,0,33,97000,60,Artist,1,2
53,1,31,74000,54,Artist,1,1
54,0,59,68000,60,Entertainment,0,2
55,1,50,18000,45,Marketing,1,1
56,0,47,95000,41,Artist,14,2
57,1,51,71000,50,Healthcare,9,4
58,0,69,8000,46,Doctor,8,2
59,1,27,57000,51,Artist,1,3
60,0,53,89000,46,Lawyer,1,6
61,0,70,84000,56,Artist,0,2
62,0,19,50000,55,Artist,9,2
63,1,67,50000,52,Lawyer,0,3
64,1,54,48000,59,Lawyer,1,2
65,0,63,63000,51,Lawyer,7,2
66,0,18,9000,59,Entertainment,0,2
67,1,43,3000,50,Doctor,0,2
68,1,68,82000,48,Artist,8,4
69,0,19,81000,59,Artist,0,4
70,1,32,97000,47,Homemaker,2,2
71,0,70,91000,55,Healthcare,8,2
72,1,47,9000,42,Entertainment,8,2
73,1,60,44000,49,Artist,0,5
74,1,60,10000,56,Healthcare,8,4
75,0,59,89000,47,Artist,0,4
76,0,26,49000,54,Homemaker,0,3
77,1,45,67000,53,Doctor,0,2
78,0,40,99000,48,Artist,4,3
79,1,23,97000,52,Engineer,2,2
80,1,49,98000,42,,1,1
81,0,57,52000,51,Healthcare,0,4
82,0,38,61000,55,Healthcare,6,3
83,0,67,120000,41,Artist,8,1
84,1,46,34000,44,Entertainment,8,4
85,1,21,24000,57,Marketing,1,3
86,0,48,31000,46,Healthcare,7,5
87,1,55,11000,58,Artist,0,3
88,1,22,55000,55,Artist,5,2
89,1,34,76000,60,Entertainment,7,3
90,1,50,56000,46,Doctor,0,2
91,1,68,46000,55,Entertainment,0,3
92,0,18,36000,41,Artist,1,4
93,0,48,88000,49,Artist,1,2
94,1,40,31000,40,Entertainment,1,2
95,1,32,24000,42,Artist,0,1
96,0,24,80000,52,Artist,10,1
97,1,47,2000,47,Artist,0,1
98,1,27,67000,50,Artist,0,2
99,0,48,58000,42,Doctor,1,2
100,0,20,80000,49,Engineer,3,3
101,1,23,65000,41,Artist,0,4
102,1,49,4000,48,Executive,1,7
103,0,67,98000,59,Artist,0,3
104,0,26,52000,55,Executive,0,5
105,0,49,86000,56,Healthcare,10,2
106,1,21,82000,42,Doctor,1,2
107,1,66,43000,50,Homemaker,3,2
108,0,54,78000,46,Lawyer,1,1
109,0,68,13000,43,Healthcare,6,5
110,0,66,13000,48,Healthcare,9,3
111,0,65,34000,52,Entertainment,4,4
112,1,19,25000,54,Artist,0,1
113,1,38,71000,42,Doctor,1,5
114,0,19,2000,46,Artist,1,1
115,1,18,97000,48,Executive,0,3
116,1,19,51000,50,Executive,8,4
117,1,63,9000,43,Lawyer,1,1
118,1,49,79000,59,Artist,0,2
119,1,51,84000,43,,2,7
120,1,50,87000,57,Artist,1,2
121,0,27,36000,56,Executive,0,3
122,1,38,50000,40,Executive,1,4
123,1,40,97000,58,Engineer,9,4
124,0,39,6000,91,Healthcare,1,3
125,1,23,12000,29,Entertainment,9,2
126,1,31,46000,77,Marketing,1,2
127,0,43,89000,35,Engineer,0,7
128,0,40,4000,95,Artist,0,2
129,0,59,38000,11,Engineer,0,2
130,0,38,64000,75,Entertainment,8,5
131,0,47,66000,9,Executive,9,5
132,0,39,26000,75,Lawyer,0,2
133,1,25,41000,34,Healthcare,6,4
134,1,31,45000,71,Artist,5,1
135,0,20,89000,5,Engineer,1,2
136,1,29,92000,88,Executive,5,5
137,1,44,76000,7,Artist,5,2
138,0,32,85000,73,Artist,3,4
139,0,19,22000,10,Marketing,8,4
140,1,35,15000,72,Artist,4,4
141,1,57,32000,5,Engineer,0,2
142,0,32,66000,93,Artist,0,5
143,1,28,62000,40,Doctor,5,3
144,1,32,85000,87,Lawyer,1,2
145,0,25,71000,12,Engineer,0,5
146,0,28,26000,97,Marketing,8,5
147,0,48,52000,36,Engineer,9,2
148,1,32,38000,74,Lawyer,1,1
149,1,34,51000,22,Healthcare,7,4
150,0,34,90000,90,Artist,6,3
151,0,43,30000,17,Lawyer,0,9
152,0,39,41000,88,Engineer,0,1
153,1,44,17000,20,Engineer,0,2
154,1,38,92000,76,Artist,2,2
155,1,47,80000,16,Healthcare,0,4
156,1,27,10000,89,Marketing,8,4
157,0,37,16000,1,Executive,1,1
158,1,30,87000,78,Artist,3,4
159,0,34,66000,1,Lawyer,1,2
160,1,30,86000,73,Artist,3,3
161,1,56,9000,35,Artist,1,1
162,1,29,50000,83,Healthcare,1,5
163,0,19,35000,5,Executive,0,5
164,1,31,58000,93,Healthcare,1,5
165,0,50,47000,26,Doctor,0,2
166,1,36,54000,75,Artist,5,3
167,0,42,79000,20,Homemaker,9,3
168,1,33,83000,95,Artist,0,5
169,1,36,57000,27,Artist,0,3
170,0,32,0,63,Artist,2,2
171,0,40,69000,13,Artist,3,5
172,0,28,4000,75,Executive,0,2
173,0,36,79000,10,Lawyer,0,2
174,0,36,99000,92,Artist,5,2
175,1,52,20000,13,Lawyer,0,2
176,1,30,28000,86,Artist,3,4
177,0,58,29000,15,Engineer,11,1
178,0,27,45000,69,Healthcare,2,6
179,0,59,86000,14,Healthcare,4,3
180,0,35,42000,90,Engineer,8,1
181,1,37,59000,32,Artist,7,2
182,1,32,61000,86,Entertainment,7,5
183,0,46,11000,15,Artist,7,1
184,1,29,66000,88,Artist,4,4
185,1,41,39000,39,Artist,1,1
186,0,30,72000,97,Artist,6,2
187,1,54,14000,24,Lawyer,1,2
188,0,28,44000,68,Doctor,5,3
189,1,41,76000,17,Engineer,8,2
190,1,36,95000,85,Artist,4,2
191,1,34,92000,23,Artist,5,3
192,1,32,98000,69,Artist,8,2
193,0,33,96000,8,Executive,9,2
194,1,38,45000,91,Artist,10,4
195,1,47,8000,16,Artist,7,2
196,1,35,46000,79,Executive,1,3
197,1,45,78000,28,Artist,0,2
198,0,32,4000,74,Artist,1,5
199,0,32,81000,18,Executive,1,2
200,0,30,33000,83,Artist,4,2
201,1,21,40000,10,Healthcare,0,3
202,0,34,85000,16,Healthcare,9,3
203,1,16,60000,0,Engineer,6,8
204,1,76,60000,39,Healthcare,4,2
205,1,62,63000,59,Entertainment,0,2
206,1,63,10000,52,Healthcare,8,3
207,1,19,55000,61,Healthcare,0,3
208,0,46,93000,12,Artist,2,1
209,1,48,15000,7,Doctor,0,2
210,1,80,39000,33,Engineer,9,4
211,1,1,57000,93,Engineer,1,2
212,1,0,22000,92,Artist,2,1
213,0,86,12000,70,Marketing,2,4
214,0,49,50000,82,Lawyer,8,1
215,0,48,95000,68,Doctor,2,4
216,1,46,66000,70,Healthcare,3,3
217,0,79,20000,40,Doctor,6,2
218,1,83,35000,99,Doctor,8,2
219,1,66,71000,34,Executive,9,2
220,1,59,76000,61,,9,1
221,1,39,84000,33,Artist,5,3
222,1,95,72000,51,Engineer,4,2
223,0,43,33000,55,Artist,4,3
224,1,93,93000,37,Healthcare,1,5
225,1,40,83000,48,Homemaker,4,1
226,1,78,23000,8,Engineer,1,1
227,1,25,40000,77,Artist,5,4
228,0,76,89000,86,Healthcare,9,4
229,0,0,33000,64,Marketing,1,1
230,0,15,94000,30,Healthcare,7,2
231,1,6,93000,53,Lawyer,8,2
232,0,84,7000,28,Healthcare,0,4
233,1,67,18000,88,Lawyer,0,2
234,1,78,3000,14,Healthcare,0,4
235,1,4,84000,54,Artist,9,1
236,1,29,62000,34,Healthcare,0,4
237,0,91,9000,96,Healthcare,1,5
238,0,95,36000,35,,0,4
239,0,55,37000,74,Lawyer,1,4
240,1,14,50000,11,Artist,1,2
241,0,92,83000,16,Executive,1,5
242,1,65,79000,17,Artist,0,3
243,1,84,40000,14,Healthcare,1,4
244,1,77,47000,58,Artist,0,6
245,1,53,4000,20,Artist,0,4
246,1,28,38000,75,Entertainment,7,2
247,0,23,0,96,Doctor,1,3
248,1,32,7000,16,Artist,1,2
249,1,37,41000,2,Artist,1,2
250,1,89,65000,0,Engineer,0,5
251,0,80,20000,93,Engineer,1,3
252,1,27,44000,65,Doctor,8,1
253,1,78,3000,14,Artist,5,4
254,1,86,72000,13,Lawyer,7,3
255,1,46,27000,32,Engineer,4,4
256,0,59,85000,49,Lawyer,4,2
257,0,12,38000,18,Executive,10,1
258,0,79,73000,96,Homemaker,6,7
259,1,79,64000,64,Artist,2,3
260,0,26,26000,60,Executive,6,4
261,1,63,47000,16,Artist,2,3
262,1,52,35000,85,Doctor,2,6
263,1,32,31000,24,Lawyer,2,3
264,1,64,13000,38,Engineer,3,4
265,1,37,79000,10,Homemaker,1,7
266,0,7,82000,39,Entertainment,2,2
267,1,40,28000,68,Artist,1,1
268,1,78,36000,79,Artist,0,3
269,1,34,8000,76,Entertainment,6,6
270,1,52,88000,39,Artist,1,2
271,0,94,91000,36,Entertainment,0,4
272,1,1,12000,82,Doctor,0,3
273,1,96,1000,76,Entertainment,0,3
274,1,18,143000,99,Artist,0,2
275,1,37,18000,57,Artist,1,2
276,0,78,65000,89,Lawyer,1,2
277,0,16,9000,88,Executive,7,4
278,0,93,95000,21,Artist,1,1
279,1,74,78000,12,Engineer,9,3
280,0,68,48000,73,Healthcare,3,3
281,1,32,63000,87,Executive,1,4
282,1,43,85000,63,Marketing,1,2
283,1,52,43000,58,Artist,1,3
284,1,63,74000,20,Artist,1,2
285,1,33,67000,11,Healthcare,0,1
286,0,86,59000,40,Artist,0,1
287,1,85,140000,84,Entertainment,1,1
288,1,73,31000,47,Healthcare,1,2
