CustomerID,Gender,Age,Annual Income(K$),Spending Score,Profession,Work Experience,Family Size,Monthly salary
1,Male,19,15.0,39,Healthcare,1,4,1.25
2,Male,21,35.0,81,Engineer,3,3,2.92
3,Female,20,86.0,6,Engineer,1,1,7.17
4,Female,23,59.0,77,Lawyer,0,2,4.92
5,Female,31,38.0,40,Entertainment,2,6,3.17
6,Female,22,58.0,76,Artist,0,2,4.83
7,Female,35,31.0,6,Healthcare,1,3,2.58
8,Female,23,84.0,94,Healthcare,1,3,7.0
9,Male,64,97.0,3,Engineer,0,3,8.08
10,Female,30,98.0,72,Artist,1,4,8.17
11,Male,67,7.0,14,Engineer,1,3,0.58
12,Female,35,93.0,99,Healthcare,4,4,7.75
13,Female,58,80.0,15,Executive,0,5,6.67
14,Female,24,91.0,77,Lawyer,1,1,7.58
15,Male,37,19.0,13,Doctor,0,1,1.58
16,Male,22,51.0,79,Healthcare,1,2,4.25
17,Female,35,29.0,35,Homemaker,9,5,2.42
18,Male,20,89.0,66,Healthcare,1,6,7.42
19,Male,52,20.0,29,Entertainment,1,4,1.67
20,Female,35,62.0,98,Artist,0,1,5.17
21,Male,35,96.0,35,Homemaker,12,1,8.0
22,Male,25,4.0,73,Healthcare,3,4,0.33
23,Female,46,42.0,5,Artist,13,2,3.5
24,Male,31,71.0,73,Artist,5,2,5.92
25,Female,54,67.0,14,Executive,1,3,5.58
26,Male,29,52.0,82,Artist,1,3,4.33
27,Female,45,68.0,32,Healthcare,9,8,5.67
28,Male,35,78.0,61,Artist,1,3,6.5
29,Female,40,18.0,31,Artist,0,1,1.5
30,Female,23,20.0,87,Artist,5,4,1.67
31,Male,60,39.0,4,Artist,0,3,3.25
32,Female,21,34.0,73,Doctor,1,2,2.83
33,Male,53,59.0,4,Healthcare,1,3,4.92
34,Male,18,62.0,92,Homemaker,9,7,5.17
35,Female,49,91.0,14,Lawyer,1,2,7.58
36,Female,21,95.0,81,Healthcare,3,4,7.92
37,Female,42,14.0,17,Doctor,5,1,1.17
38,Female,30,62.0,73,Healthcare,1,5,5.17
39,Female,36,9.0,26,Artist,8,2,0.75
40,Female,20,69.0,75,Artist,8,2,5.75
41,Female,65,25.0,35,Artist,4,1,2.08
42,Male,24,85.0,92,Healthcare,0,2,7.08
43,Male,48,22.0,36,Artist,14,3,1.83
44,Female,31,33.0,61,Artist,1,2,2.75
45,Female,49,72.0,28,Engineer,8,1,6.0
46,Female,24,3.0,65,Lawyer,4,2,0.25
47,Female,50,52.0,55,Artist,0,4,4.33
48,Female,27,71.0,47,Healthcare,12,1,5.92
49,Female,29,78.0,42,Healthcare,0,4,6.5
50,Female,31,25.0,42,Engineer,1,1,2.08
51,Female,49,88.0,52,Artist,1,2,7.33
52,Male,33,97.0,60,Artist,1,2,8.08
53,Female,31,74.0,54,Artist,1,1,6.17
54,Male,59,68.0,60,Entertainment,0,2,5.67
55,Female,50,18.0,45,Marketing,1,1,1.5
56,Male,47,95.0,41,Artist,14,2,7.92
57,Female,51,71.0,50,Healthcare,9,4,5.92
58,Male,69,8.0,46,Doctor,8,2,0.67
59,Female,27,57.0,51,Artist,1,3,4.75
60,Male,53,89.0,46,Lawyer,1,6,7.42
61,Male,70,84.0,56,Artist,0,2,7.0
62,Male,19,50.0,55,Artist,9,2,4.17
63,Female,67,50.0,52,Lawyer,0,3,4.17
64,Female,54,48.0,59,Lawyer,1,2,4.0
65,Male,63,63.0,51,Lawyer,7,2,5.25
66,Male,18,9.0,59,Entertainment,0,2,0.75
67,Female,43,3.0,50,Doctor,0,2,0.25
68,Female,68,82.0,48,Artist,8,4,6.83
69,Male,19,81.0,59,Artist,0,4,6.75
70,Female,32,97.0,47,Homemaker,2,2,8.08
71,Male,70,91.0,55,Healthcare,8,2,7.58
